,corr,ols,for,svm,rank_sum,rank
relative_power,1,4,2,6,13,0.07692307692307693
peso,18,1,5,1,25,0.04
imc,18,2,6,2,28,0.03571428571428571
grasa,18,5,3,4,30,0.03333333333333333
sentadilla,18,8,4,5,35,0.02857142857142857
mean_power,18,18,1,3,40,0.025
edad,18,6,9,8,41,0.024390243902439025
agil_m_s,18,7,8,9,42,0.023809523809523808
andar_agil4m,18,9,7,11,45,0.022222222222222223
eq1,18,3,18,18,57,0.017543859649122806
eq2,18,18,18,7,61,0.01639344262295082
gruposbuena,18,18,18,10,64,0.015625
