dataset,accuracy,precision,recall,roc_auc,f1
X_cor,0.7461,0.50939,0.56993,0.7461,0.50112
X_cor_ols,0.75737,0.51944,0.57784,0.75737,0.51526
X_forest,0.75398,0.51425,0.57594,0.75398,0.50419
X_svm,0.76044,0.51544,0.57435,0.76044,0.50581
X_selected_4,0.74555,0.51085,0.5718,0.74555,0.50029
X_selected_8,0.76148,0.51458,0.57376,0.76148,0.5045
X_selected_all,0.75478,0.50421,0.56483,0.75478,0.49865
X_sarco_datos,0.75478,0.50421,0.56483,0.75478,0.49865
X_sarco_norm,0.74907,0.41103,0.45601,0.74907,0.4283
