,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__class_weight,param_svm__degree,param_svm__kernel,param_svm__probability,param_svm__random_state,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0,0.5785997867584228,0.01020968973323643,0.13799967765808105,0.003161731807726841,1.0,,3,rbf,True,42,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__degree': 3, 'svm__kernel': 'rbf', 'svm__probability': True, 'svm__random_state': 42}",0.5976095617529881,0.5896414342629482,0.5697211155378487,0.624,0.62,0.600194422310757,0.020028159791849624,13,0.4272474016929177,0.39574449756643837,0.38706246821103246,0.41883116883116883,0.42280414620840157,0.4103379365019918,0.01592599935334595,93,0.4467125826349127,0.44821092278719393,0.4283261327129722,0.4727131911597931,0.4667662434652726,0.45254581455202897,0.015800978117273896,78,0.7636489191747664,0.7446193463790408,0.684409349971533,0.7445692326804086,0.750945565750296,0.737638482791209,0.027509015209332282,30,0.41715399610136455,0.4199781261392635,0.40149588631264027,0.443786802092277,0.43974637883267326,0.4244322378956437,0.015543553049250123,84
1,0.5037993431091309,0.04690992816527336,0.015400266647338868,0.0007999660343262859,1.0,,3,linear,True,42,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__degree': 3, 'svm__kernel': 'linear', 'svm__probability': True, 'svm__random_state': 42}",0.5936254980079682,0.6095617529880478,0.5816733067729084,0.632,0.612,0.605772111553785,0.017142594445089695,1,0.4195296991907161,0.4151158120230285,0.39106924821210537,0.4248917748917749,0.41162406537993396,0.41244611993951175,0.011574498663601678,81,0.445025309102979,0.4614489863742108,0.4407887448764816,0.47918568306917825,0.4633916964014051,0.45796808396485095,0.01381567137590976,65,0.7647730941124605,0.7637945076763294,0.6906585989769126,0.7625650519814328,0.7463977477427365,0.7456378000979744,0.028304230919654776,17,0.41731042699565696,0.43434082175583805,0.41340904927642425,0.45004658299994516,0.4353968050650516,0.43010073721858316,0.01331215908414893,72
2,0.3563998699188232,0.044889805102934985,0.05659971237182617,0.05152365765138327,1.0,,3,poly,True,42,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__degree': 3, 'svm__kernel': 'poly', 'svm__probability': True, 'svm__random_state': 42}",0.6175298804780877,0.5697211155378487,0.5856573705179283,0.6,0.628,0.600181673306773,0.02104116702256019,17,0.4344927103547793,0.3831454643048846,0.39505173189383713,0.4647366522366523,0.42391113452757284,0.42026753866354527,0.029006960124013426,80,0.4636682986197549,0.4349728592001772,0.44139802813780876,0.46388128232788434,0.4747877077974166,0.4557416352166084,0.015026109608331605,77,0.7440606209683622,0.7404074429406355,0.6767933403086199,0.7494290691721162,0.7464595667044751,0.7314300080188418,0.02747779473108074,35,0.43562428407789233,0.40741212971227,0.4137735126656539,0.44835569668856307,0.4466609112005045,0.4303653068689767,0.016846326983332948,71
3,0.5196004390716553,0.007709179044860225,0.0167996883392334,0.0007484558524433099,1.0,,3,sigmoid,True,42,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__degree': 3, 'svm__kernel': 'sigmoid', 'svm__probability': True, 'svm__random_state': 42}",0.5816733067729084,0.5617529880478087,0.5378486055776892,0.536,0.512,0.5458549800796813,0.023845676864748748,29,0.5034090909090909,0.523206241956242,0.44092565284897284,0.470740008783487,0.489795918367347,0.48561538257302794,0.0281624371574361,46,0.46096384273647034,0.4473461336420845,0.42202603658558374,0.4534118883633446,0.4347688988465687,0.4437033600348104,0.013821581194644083,92,0.740128884747243,0.7000458568299194,0.6793058599411569,0.6916898189151639,0.6910274626137097,0.7004395766094386,0.0209149531460852,60,0.4597763668012824,0.44755828966355277,0.41543957750854305,0.45864786868790564,0.44708897579837,0.4457022156919308,0.016042861620924352,67
4,0.6763997077941895,0.007059639996765961,0.13819994926452636,0.0030592398514363486,1.0,,4,rbf,True,42,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__degree': 4, 'svm__kernel': 'rbf', 'svm__probability': True, 'svm__random_state': 42}",0.5976095617529881,0.5896414342629482,0.5697211155378487,0.624,0.62,0.600194422310757,0.020028159791849624,13,0.4272474016929177,0.39574449756643837,0.38706246821103246,0.41883116883116883,0.42280414620840157,0.4103379365019918,0.01592599935334595,93,0.4467125826349127,0.44821092278719393,0.4283261327129722,0.4727131911597931,0.4667662434652726,0.45254581455202897,0.015800978117273896,78,0.7636489191747664,0.7446193463790408,0.684409349971533,0.7445692326804086,0.750945565750296,0.737638482791209,0.027509015209332282,30,0.41715399610136455,0.4199781261392635,0.40149588631264027,0.443786802092277,0.43974637883267326,0.4244322378956437,0.015543553049250123,84
5,0.5184000968933106,0.04172117363677499,0.014599990844726563,0.001200421738544175,1.0,,4,linear,True,42,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__degree': 4, 'svm__kernel': 'linear', 'svm__probability': True, 'svm__random_state': 42}",0.5936254980079682,0.6095617529880478,0.5816733067729084,0.632,0.612,0.605772111553785,0.017142594445089695,1,0.4195296991907161,0.4151158120230285,0.39106924821210537,0.4248917748917749,0.41162406537993396,0.41244611993951175,0.011574498663601678,81,0.445025309102979,0.4614489863742108,0.4407887448764816,0.47918568306917825,0.4633916964014051,0.45796808396485095,0.01381567137590976,65,0.7647730941124605,0.7637945076763294,0.6906585989769126,0.7625650519814328,0.7463977477427365,0.7456378000979744,0.028304230919654776,17,0.41731042699565696,0.43434082175583805,0.41340904927642425,0.45004658299994516,0.4353968050650516,0.43010073721858316,0.01331215908414893,72
6,0.5284004211425781,0.0031367292430558805,0.0955998420715332,0.03981244531325251,1.0,,4,poly,True,42,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__degree': 4, 'svm__kernel': 'poly', 'svm__probability': True, 'svm__random_state': 42}",0.5936254980079682,0.5617529880478087,0.5617529880478087,0.6,0.592,0.5818262948207171,0.01660653077840809,20,0.5666814355338946,0.5453198653198653,0.7197423939595825,0.4087264044690724,0.40853233292451235,0.5298004864413854,0.11579627121908517,8,0.4581219780092314,0.4323767050104168,0.42838866911809376,0.45252122922025834,0.4433380355710453,0.4429493233858091,0.011364636719260248,96,0.735167284183322,0.7168061685933192,0.6543612173318536,0.6884963689226774,0.7221477257848526,0.703395752963205,0.028869649313826077,53,0.4469869643508797,0.4173827830544248,0.41260785269583944,0.4270315091210614,0.41667928719269015,0.4241376792829791,0.012366545322008857,88
7,0.5711994647979737,0.05016494686671331,0.07880005836486817,0.048873494061253506,1.0,,4,sigmoid,True,42,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__degree': 4, 'svm__kernel': 'sigmoid', 'svm__probability': True, 'svm__random_state': 42}",0.5816733067729084,0.5617529880478087,0.5378486055776892,0.536,0.512,0.5458549800796813,0.023845676864748748,29,0.5034090909090909,0.523206241956242,0.44092565284897284,0.470740008783487,0.489795918367347,0.48561538257302794,0.0281624371574361,46,0.46096384273647034,0.4473461336420845,0.42202603658558374,0.4534118883633446,0.4347688988465687,0.4437033600348104,0.013821581194644083,92,0.740128884747243,0.7000458568299194,0.6793058599411569,0.6916898189151639,0.6910274626137097,0.7004395766094386,0.0209149531460852,60,0.4597763668012824,0.44755828966355277,0.41543957750854305,0.45864786868790564,0.44708897579837,0.4457022156919308,0.016042861620924352,67
8,0.7319995880126953,0.05434327840103555,0.1475998878479004,0.012224142815610498,1.0,,5,rbf,True,42,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__degree': 5, 'svm__kernel': 'rbf', 'svm__probability': True, 'svm__random_state': 42}",0.5976095617529881,0.5896414342629482,0.5697211155378487,0.624,0.62,0.600194422310757,0.020028159791849624,13,0.4272474016929177,0.39574449756643837,0.38706246821103246,0.41883116883116883,0.42280414620840157,0.4103379365019918,0.01592599935334595,93,0.4467125826349127,0.44821092278719393,0.4283261327129722,0.4727131911597931,0.4667662434652726,0.45254581455202897,0.015800978117273896,78,0.7636489191747664,0.7446193463790408,0.684409349971533,0.7445692326804086,0.750945565750296,0.737638482791209,0.027509015209332282,30,0.41715399610136455,0.4199781261392635,0.40149588631264027,0.443786802092277,0.43974637883267326,0.4244322378956437,0.015543553049250123,84
9,0.535799789428711,0.010684757894335232,0.1035996437072754,0.046263302948399684,1.0,,5,linear,True,42,"{'svm__C': 1.0, 'svm__class_weight': None, 'svm__degree': 5, 'svm__kernel': 'linear', 'svm__probability': True, 'svm__random_state': 42}",0.5936254980079682,0.6095617529880478,0.5816733067729084,0.632,0.612,0.605772111553785,0.017142594445089695,1,0.4195296991907161,0.4151158120230285,0.39106924821210537,0.4248917748917749,0.41162406537993396,0.41244611993951175,0.011574498663601678,81,0.445025309102979,0.4614489863742108,0.4407887448764816,0.47918568306917825,0.4633916964014051,0.45796808396485095,0.01381567137590976,65,0.7647730941124605,0.7637945076763294,0.6906585989769126,0.7625650519814328,0.7463977477427365,0.7456378000979744,0.028304230919654776,17,0.41731042699565696,0.43434082175583805,0.41340904927642425,0.45004658299994516,0.4353968050650516,0.43010073721858316,0.01331215908414893,72
