dataset,metric,SVM,NB,KNN,RndmFor,MLP,GradBst,DT,SGD
data,accuracy,0.86993,0.7327,0.75184,0.96329,0.929,0.96488,0.94413,0.82447
data,precision,0.84971,0.73058,0.70105,0.96318,0.93099,0.96482,0.95082,0.81415
data,recall,0.83846,0.77628,0.65299,0.96828,0.90703,0.96917,0.95184,0.72755
data,roc_auc,0.96379,0.89609,0.85031,0.99715,0.98883,0.99753,0.9594,0.93682
data,f1,0.84024,0.73424,0.66187,0.96511,0.91427,0.96666,0.95083,0.74828
