,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,param_mlp__max_iter,param_mlp__random_state,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0,1.3573995590209962,0.17519093696680682,0.047600078582763675,0.04607174601804151,logistic,"(10,)",constant,5000,42,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate': 'constant', 'mlp__max_iter': 5000, 'mlp__random_state': 42}",0.6055776892430279,0.5936254980079682,0.5657370517928287,0.636,0.608,0.601788047808765,0.022758334464337948,9,0.4226851851851852,0.40080452272233097,0.37790647790647797,0.4266520250629804,0.4106515630488234,0.40773995478515956,0.0174793611848549,41,0.4551212900727464,0.45103578154425605,0.4294893098482331,0.4828091721295604,0.4597682073410229,0.45564475218716377,0.017091122725732842,41,0.7744872706650102,0.7759241892284646,0.6861995320488479,0.766954829647727,0.7664356482157052,0.754000293961151,0.03411678397603283,5,0.4275576806314511,0.42354706485141264,0.4018633766422826,0.45287741810051524,0.4326151246303338,0.42769213297119907,0.016388158862842037,41
1,1.5033996105194092,0.19035977018200168,0.011999702453613282,0.0068700747313976155,logistic,"(10,)",adaptive,5000,42,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate': 'adaptive', 'mlp__max_iter': 5000, 'mlp__random_state': 42}",0.6055776892430279,0.5936254980079682,0.5657370517928287,0.636,0.608,0.601788047808765,0.022758334464337948,9,0.4226851851851852,0.40080452272233097,0.37790647790647797,0.4266520250629804,0.4106515630488234,0.40773995478515956,0.0174793611848549,41,0.4551212900727464,0.45103578154425605,0.4294893098482331,0.4828091721295604,0.4597682073410229,0.45564475218716377,0.017091122725732842,41,0.7744872706650102,0.7759241892284646,0.6861995320488479,0.766954829647727,0.7664356482157052,0.754000293961151,0.03411678397603283,5,0.4275576806314511,0.42354706485141264,0.4018633766422826,0.45287741810051524,0.4326151246303338,0.42769213297119907,0.016388158862842037,41
2,2.791999101638794,0.4176560553449922,0.05299949645996094,0.04957759571227584,logistic,"(100,)",constant,5000,42,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant', 'mlp__max_iter': 5000, 'mlp__random_state': 42}",0.5896414342629482,0.5896414342629482,0.5617529880478087,0.624,0.612,0.5954071713147411,0.021410106561472412,21,0.5523744603499204,0.39454437215631244,0.3755072088405422,0.41830065359477125,0.41944847605224966,0.43203503419875916,0.06233711081378651,35,0.4895984181922171,0.45042649828292897,0.4257782208928769,0.4738749204768622,0.46029375155588753,0.4599943618801546,0.021593739875893272,33,0.7684381899166105,0.774259886607819,0.6861814908322951,0.7711126104242391,0.7700769727578254,0.7540138301077579,0.033969351042927226,3,0.4989159067882472,0.42063492063492064,0.39861339171683996,0.4442906322289211,0.4338861497086508,0.43926820021551594,0.033502396190025034,33
3,2.91299786567688,0.18694120201125847,0.06820030212402343,0.047909771208514584,logistic,"(100,)",adaptive,5000,42,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'adaptive', 'mlp__max_iter': 5000, 'mlp__random_state': 42}",0.5896414342629482,0.5896414342629482,0.5617529880478087,0.624,0.612,0.5954071713147411,0.021410106561472412,21,0.5523744603499204,0.39454437215631244,0.3755072088405422,0.41830065359477125,0.41944847605224966,0.43203503419875916,0.06233711081378651,35,0.4895984181922171,0.45042649828292897,0.4257782208928769,0.4738749204768622,0.46029375155588753,0.4599943618801546,0.021593739875893272,33,0.7684381899166105,0.774259886607819,0.6861814908322951,0.7711126104242391,0.7700769727578254,0.7540138301077579,0.033969351042927226,3,0.4989159067882472,0.42063492063492064,0.39861339171683996,0.4442906322289211,0.4338861497086508,0.43926820021551594,0.033502396190025034,33
4,4.224199295043945,1.0590019391524872,0.05419940948486328,0.04626170560376441,logistic,"(200,)",constant,5000,42,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': (200,), 'mlp__learning_rate': 'constant', 'mlp__max_iter': 5000, 'mlp__random_state': 42}",0.6095617529880478,0.6135458167330677,0.5577689243027888,0.588,0.632,0.6001752988047808,0.02540167859555386,11,0.4340114762649974,0.4165121412803532,0.7330633284241532,0.5226483331542952,0.7495555555555556,0.571158166935871,0.14360830168858973,7,0.45642132049899037,0.4651600753295668,0.42024642917126753,0.522592869194811,0.5220451968024784,0.47729317819942285,0.03972904070607502,11,0.7720409860282061,0.7693800041762348,0.6827687175975795,0.7666530979517329,0.7708451527303269,0.752337591696816,0.03483090394886707,11,0.42753202523317463,0.43755751039787993,0.3969828518879152,0.5211416097320928,0.5343897718980997,0.46352075382983243,0.05429392552986448,21
5,3.7345985889434816,1.4342984251967437,0.03700032234191895,0.03727180504971458,logistic,"(200,)",adaptive,5000,42,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': (200,), 'mlp__learning_rate': 'adaptive', 'mlp__max_iter': 5000, 'mlp__random_state': 42}",0.6095617529880478,0.6135458167330677,0.5577689243027888,0.588,0.632,0.6001752988047808,0.02540167859555386,11,0.4340114762649974,0.4165121412803532,0.7330633284241532,0.5226483331542952,0.7495555555555556,0.571158166935871,0.14360830168858973,7,0.45642132049899037,0.4651600753295668,0.42024642917126753,0.522592869194811,0.5220451968024784,0.47729317819942285,0.03972904070607502,11,0.7720409860282061,0.7693800041762348,0.6827687175975795,0.7666530979517329,0.7708451527303269,0.752337591696816,0.03483090394886707,11,0.42753202523317463,0.43755751039787993,0.3969828518879152,0.5211416097320928,0.5343897718980997,0.46352075382983243,0.05429392552986448,21
6,2.542399215698242,0.8260223350294494,0.047799873352050784,0.046768571410383035,logistic,"(10, 10)",constant,5000,42,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': (10, 10), 'mlp__learning_rate': 'constant', 'mlp__max_iter': 5000, 'mlp__random_state': 42}",0.6135458167330677,0.5896414342629482,0.5657370517928287,0.632,0.588,0.597784860557769,0.02283945901810874,17,0.4184139784946237,0.3954411576386221,0.3821412803532009,0.42425810904071776,0.3938768489852082,0.4028262749024745,0.015904723817525647,45,0.4643044837219595,0.449983383183782,0.4281599645507921,0.47957292617486785,0.44629767930738806,0.45366368738775786,0.017336422893850328,45,0.7758195310597721,0.7708871541164068,0.6840381883127792,0.7626978613711222,0.7601482987627962,0.7507182067245753,0.0338098403988322,15,0.43679180214799485,0.42091503267973857,0.40206362643699317,0.45003799969600244,0.41838946467277466,0.42563958512670075,0.016433904274668797,43
7,2.83399920463562,0.5935727730007012,0.0470001220703125,0.04736175615362194,logistic,"(10, 10)",adaptive,5000,42,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': (10, 10), 'mlp__learning_rate': 'adaptive', 'mlp__max_iter': 5000, 'mlp__random_state': 42}",0.6135458167330677,0.5896414342629482,0.5657370517928287,0.632,0.588,0.597784860557769,0.02283945901810874,17,0.4184139784946237,0.3954411576386221,0.3821412803532009,0.42425810904071776,0.3938768489852082,0.4028262749024745,0.015904723817525647,45,0.4643044837219595,0.449983383183782,0.4281599645507921,0.47957292617486785,0.44629767930738806,0.45366368738775786,0.017336422893850328,45,0.7758195310597721,0.7708871541164068,0.6840381883127792,0.7626978613711222,0.7601482987627962,0.7507182067245753,0.0338098403988322,15,0.43679180214799485,0.42091503267973857,0.40206362643699317,0.45003799969600244,0.41838946467277466,0.42563958512670075,0.016433904274668797,43
8,3.9231993675231935,0.9408639780435598,0.0329993724822998,0.03816772299070672,logistic,"(10, 100)",constant,5000,42,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': (10, 100), 'mlp__learning_rate': 'constant', 'mlp__max_iter': 5000, 'mlp__random_state': 42}",0.601593625498008,0.5976095617529881,0.5577689243027888,0.652,0.62,0.605794422310757,0.03075009249484389,3,0.416111504842901,0.40252956919623584,0.372229326513214,0.4433072446317479,0.42773194180006113,0.412381917396832,0.024146255428191064,37,0.45304677343512295,0.45474687049961227,0.4242827074332558,0.49226896799712333,0.4656045141482035,0.45798996670266356,0.021927897403369676,35,0.768162968379627,0.7691155704767687,0.6841252378982313,0.7635360436634252,0.7648131386583099,0.7499505918152723,0.032977034694166005,19,0.42594541763777155,0.42656449553001274,0.3965431740387291,0.46399192158021774,0.4389724310776942,0.430403487972885,0.021829992083995352,37
9,4.357006454467774,0.7326292986537316,0.050793027877807616,0.0472478450352881,logistic,"(10, 100)",adaptive,5000,42,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': (10, 100), 'mlp__learning_rate': 'adaptive', 'mlp__max_iter': 5000, 'mlp__random_state': 42}",0.601593625498008,0.5976095617529881,0.5577689243027888,0.652,0.62,0.605794422310757,0.03075009249484389,3,0.416111504842901,0.40252956919623584,0.372229326513214,0.4433072446317479,0.42773194180006113,0.412381917396832,0.024146255428191064,37,0.45304677343512295,0.45474687049961227,0.4242827074332558,0.49226896799712333,0.4656045141482035,0.45798996670266356,0.021927897403369676,35,0.768162968379627,0.7691155704767687,0.6841252378982313,0.7635360436634252,0.7648131386583099,0.7499505918152723,0.032977034694166005,19,0.42594541763777155,0.42656449553001274,0.3965431740387291,0.46399192158021774,0.4389724310776942,0.430403487972885,0.021829992083995352,37
