dataset,accuracy,precision,recall,roc_auc,f1
X_cor,0.74834,0.57385,0.50354,0.74834,0.50843
X_cor_ols,0.75946,0.5912,0.50295,0.75946,0.50447
X_forest,0.7587,0.59371,0.48862,0.7587,0.48507
X_svm,0.76399,0.42113,0.45983,0.76399,0.43264
X_selected_4,0.74636,0.57361,0.4644,0.74636,0.45539
X_selected_8,0.7649,0.58782,0.47963,0.7649,0.4765
X_selected_all,0.7603,0.58123,0.48089,0.7603,0.47232
X_sarco_datos,0.7603,0.58123,0.48089,0.7603,0.47232
X_sarco_norm,0.75458,0.41148,0.45648,0.75458,0.429
