dataset,metric,MLP,SGD,KNN,SVM,GradBst,NB,DT,RndmFor
data,accuracy,0.92658,0.86826,0.77172,0.94973,0.94572,0.73179,0.92099,0.9074
data,precision,0.8865,0.83984,0.64438,0.91772,0.91793,0.70145,0.87734,0.85902
data,recall,0.87317,0.73613,0.62203,0.92355,0.91215,0.71233,0.87423,0.84564
data,roc_auc,0.98521,0.96217,0.83574,0.99307,0.99023,0.88586,0.91349,0.97737
data,f1,0.87854,0.72619,0.62732,0.91968,0.91318,0.67143,0.87488,0.85037
