dataset,accuracy,precision,recall,roc_auc,f1
X_mqi_datos,0.76043,0.47277,0.48288,0.76043,0.46744
X_cor_pear,0.69026,0.36679,0.39603,0.69026,0.36171
X_cor_ols,0.76583,0.54377,0.49111,0.76583,0.48476
X_forest,0.76387,0.50045,0.49063,0.76387,0.47707
X_mqi_norm,0.75303,0.51247,0.48174,0.75303,0.47898
X_svm,0.76454,0.4452,0.48251,0.76454,0.45754
X_selected_4,0.75767,0.46093,0.47527,0.75767,0.45663
X_selected_8,0.76416,0.51431,0.48291,0.76416,0.47074
X_selected_all,0.76158,0.48374,0.49338,0.76158,0.46908
