,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_features,param_n_estimators,param_random_state,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0,0.006000804901123047,0.001674452849387219,0.010599708557128907,0.002331762277587992,balanced,sqrt,1,42,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'n_estimators': 1, 'random_state': 42}",0.6294820717131474,0.5776892430278885,0.601593625498008,0.572,0.58,0.5921529880478088,0.02119256515151733,43,0.47033240136688415,0.4200531494649142,0.4227457824316463,0.4297386181651796,0.4071321974878746,0.4300004297832998,0.02145353499724165,48,0.45080287929125146,0.41866002214839426,0.40151687549461484,0.4345599498677064,0.40802812978693775,0.422713571317781,0.01794847778961149,51,0.5907839503665993,0.5680414243540025,0.5533912216300912,0.5870706628754055,0.5632597432591053,0.5725094004970408,0.014261930220059888,51,0.45725219307249115,0.41932233907719335,0.4063290998253494,0.4310067549197984,0.4071547898218633,0.42421303534333915,0.018828055496973698,49
1,0.009799718856811523,0.0023149340698554875,0.008401155471801758,0.002939875455234088,balanced,sqrt,2,42,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'n_estimators': 2, 'random_state': 42}",0.5617529880478087,0.4820717131474104,0.5697211155378487,0.504,0.528,0.5291091633466135,0.03334418090295348,50,0.45300176808311976,0.3914990522529937,0.4440522875816993,0.4454081295830578,0.41884164030113674,0.4305605755604015,0.022668124414115236,46,0.4822628276116648,0.4073920265780731,0.45575440157688024,0.47719909019170964,0.44022072134800166,0.4525658134612659,0.0271733339388149,42,0.6245681554586053,0.5730507351086964,0.59571790039148,0.6569620421654726,0.6121703870307008,0.6124938440309909,0.028144290336271093,45,0.45842124388181693,0.39008254225645533,0.4475256716346723,0.431986509599865,0.41830649653818613,0.4292644927821991,0.023859166339201248,46
2,0.02099919319152832,0.0006331641406287534,0.012000703811645507,0.0006327868150221128,balanced,sqrt,4,42,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'n_estimators': 4, 'random_state': 42}",0.6175298804780877,0.6055776892430279,0.6374501992031872,0.608,0.628,0.6193115537848606,0.012035316358936506,40,0.44616585600192166,0.45433583959899754,0.4751540689040689,0.4667603204628908,0.4482246403862426,0.4581281450708243,0.01113511454787971,40,0.43791989664082687,0.4440845330380214,0.4601506006704685,0.4864782063779418,0.44058510885206337,0.4538436691158644,0.01805207519946581,40,0.6578017280393272,0.6149032771883455,0.6732857779295958,0.7004576396877606,0.6592390970560918,0.6611375039802242,0.027734414394496955,38,0.43870784262941126,0.448531983679376,0.4653834831416572,0.4735931763648542,0.44287994891443166,0.45381928694594603,0.013421756801076812,38
3,0.026599311828613283,0.006185803127696524,0.007799720764160157,0.002637000908396342,balanced,sqrt,8,42,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'n_estimators': 8, 'random_state': 42}",0.6613545816733067,0.6175298804780877,0.6653386454183267,0.656,0.66,0.6520446215139443,0.017513462503661592,35,0.49897200928128765,0.4574113949113949,0.4868760532712928,0.4895539053944931,0.4782589279068729,0.4822144581530683,0.014051701963604384,33,0.47069952011812477,0.443687707641196,0.43845264660695626,0.5035115814881864,0.45137863807269185,0.46154601878543106,0.023666405665677927,36,0.7001978642637443,0.6413112455640247,0.6979853050885051,0.7252944338680142,0.6592554362719009,0.6848088570112378,0.030313501198874607,35,0.4734529379967071,0.4486507936507936,0.4409201792579809,0.4954321673925944,0.4564128112515209,0.46297377790991934,0.019482891053507014,34
4,0.059599781036376955,0.010423702279169425,0.011799240112304687,0.0021352032262865043,balanced,sqrt,16,42,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'n_estimators': 16, 'random_state': 42}",0.6772908366533864,0.6454183266932271,0.6892430278884463,0.696,0.696,0.6807904382470118,0.01896070302583689,25,0.5020803443328551,0.43863636363636366,0.5266182069920388,0.527442350159827,0.4693766937669377,0.49283079177760447,0.034386725281832245,30,0.46016980435585086,0.42122554448135846,0.450050551194831,0.5171343359792043,0.47393584923176907,0.46450321704860265,0.031494838270656744,28,0.6940921244297623,0.6581021690832726,0.7447080251971462,0.7499151764218115,0.6943626269631658,0.7082360244190317,0.034563804961639605,26,0.4606148989527006,0.4199709355848391,0.4532889271194042,0.5172294917337411,0.4653838898321072,0.4632976286445585,0.03129719418198171,32
5,0.11819853782653808,0.009600591675532125,0.012999629974365235,0.001999569081348162,balanced,sqrt,32,42,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'n_estimators': 32, 'random_state': 42}",0.6972111553784861,0.6573705179282868,0.7091633466135459,0.708,0.692,0.6927490039840638,0.01883683944333458,18,0.5700108719286802,0.465995317480466,0.6735063640893237,0.5583206339530631,0.4921058879392213,0.5519878150781509,0.07226651751382598,10,0.4470191952750093,0.43871354743447766,0.46040873443130753,0.5179478252796733,0.46042798124680867,0.4649034567334553,0.0277837924008755,26,0.707600081076155,0.6751414011716325,0.7591059013525271,0.7562136828124846,0.712227555550352,0.7220577243926302,0.03176788934110009,22,0.45198724935023216,0.43582000916608027,0.47383160574649935,0.5228081918316542,0.4624761904761905,0.46938464931413126,0.029498582047008677,24
6,0.25999674797058103,0.020591546369851735,0.021600818634033202,0.004317436207665712,balanced,sqrt,64,42,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'n_estimators': 64, 'random_state': 42}",0.6932270916334662,0.649402390438247,0.701195219123506,0.712,0.712,0.6935649402390437,0.023187794027129314,16,0.5583107088989442,0.43140028288543136,0.6117546117546118,0.5858085808580858,0.5610437029547243,0.5496635774703595,0.06221293240549193,12,0.43868586194167586,0.4226282761166482,0.4506607884627794,0.5032574386111498,0.4767453465162698,0.4583955423297046,0.028554860540329165,38,0.7164884208595259,0.6947391406149701,0.7653479859130314,0.7618227538351872,0.7296850105764939,0.7336166623598417,0.02691749145226715,8,0.43766430879692636,0.41595954929288265,0.4623320086389311,0.5197560975609756,0.4888372244393187,0.46490983774580685,0.036676223469509155,30
7,0.4011979579925537,0.0333322439023206,0.026599931716918945,0.005534445471405033,balanced,sqrt,100,42,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'n_estimators': 100, 'random_state': 42}",0.6972111553784861,0.6613545816733067,0.7051792828685259,0.716,0.712,0.6983490039840637,0.019567534559964798,11,0.5972850678733032,0.44876520776006784,0.6346846846846846,0.6013584117032392,0.5222839506172839,0.5608754645277158,0.06703781593456953,1,0.446437799926172,0.42858065706902915,0.45227865313049453,0.5052534465951818,0.47616395116743254,0.46174290157766196,0.026550656470508374,34,0.7104365215926528,0.6982389309718661,0.7650248343275717,0.7727094044578622,0.730280907505383,0.7353381197710671,0.02932551359345314,3,0.44601034374142684,0.42161106866989223,0.4569891127796804,0.5217919674060024,0.47916346695336093,0.46511319191007255,0.033862214980078055,28
8,0.7597978115081787,0.06271925329234515,0.03699989318847656,0.009209349753478008,balanced,sqrt,200,42,"{'class_weight': 'balanced', 'max_features': 'sqrt', 'n_estimators': 200, 'random_state': 42}",0.6892430278884463,0.6812749003984063,0.7131474103585658,0.724,0.708,0.7031330677290837,0.01568512439389463,4,0.5348284063880394,0.5121276167471819,0.597037037037037,0.6092053540329402,0.5189452124935996,0.5544287253397596,0.040616704080357724,6,0.44246954595791804,0.45119970468807685,0.45013659578177734,0.4965708118646428,0.4684120131829364,0.46175773429507033,0.019363816030107908,32,0.7089178743177799,0.6968102152579565,0.7520284397857031,0.7773820320775112,0.7363591262833603,0.7342995375444622,0.029066597080832434,5,0.44127270191699125,0.4548376068376068,0.45202972493345167,0.5114249059482324,0.4715744195688225,0.466227871841021,0.024598550701568637,26
9,0.005599212646484375,0.0004916928825193902,0.008601045608520508,0.0004911291852151686,balanced,log2,1,42,"{'class_weight': 'balanced', 'max_features': 'log2', 'n_estimators': 1, 'random_state': 42}",0.6294820717131474,0.5776892430278885,0.601593625498008,0.572,0.58,0.5921529880478088,0.02119256515151733,43,0.47033240136688415,0.4200531494649142,0.4227457824316463,0.4297386181651796,0.4071321974878746,0.4300004297832998,0.02145353499724165,48,0.45080287929125146,0.41866002214839426,0.40151687549461484,0.4345599498677064,0.40802812978693775,0.422713571317781,0.01794847778961149,51,0.5907839503665993,0.5680414243540025,0.5533912216300912,0.5870706628754055,0.5632597432591053,0.5725094004970408,0.014261930220059888,51,0.45725219307249115,0.41932233907719335,0.4063290998253494,0.4310067549197984,0.4071547898218633,0.42421303534333915,0.018828055496973698,49
