dataset,accuracy,precision,recall,roc_auc,f1
X_mqi_datos,0.73413,0.56291,0.46148,0.73413,0.46501
X_cor_pear,0.61689,0.42213,0.39241,0.61689,0.39109
X_cor_ols,0.73675,0.55897,0.48577,0.73675,0.49009
X_forest,0.73524,0.54455,0.48937,0.73524,0.49547
X_mqi_norm,0.72315,0.56393,0.47053,0.72315,0.47319
X_svm,0.7384,0.55441,0.4924,0.7384,0.49875
X_selected_4,0.70466,0.50884,0.46351,0.70466,0.46637
X_selected_8,0.74194,0.54585,0.47757,0.74194,0.47866
X_selected_all,0.73686,0.55296,0.4879,0.73686,0.4898
