dataset,accuracy,precision,recall,roc_auc,f1
X_mqi_datos,0.75763,0.54073,0.56816,0.75763,0.53282
X_cor_pear,0.68923,0.47732,0.39023,0.68923,0.37866
X_cor_ols,0.76676,0.54095,0.56506,0.76676,0.53567
X_forest,0.7671,0.54269,0.56867,0.7671,0.5383
X_mqi_norm,0.75084,0.5339,0.56388,0.75084,0.52914
X_svm,0.76623,0.54947,0.58162,0.76623,0.54661
X_selected_4,0.75855,0.54966,0.57421,0.75855,0.542
X_selected_8,0.7652,0.54508,0.5703,0.7652,0.53884
X_selected_all,0.76623,0.54947,0.58162,0.76623,0.54661
